num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,zona_ciudad,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
1,2021,1,7,2,1,1,5,1,101,8,8,1,23,3,3,5,1,4,67,4,2020,6,6,1,2
2,2021,1,9,2,1,1,5,1,101,18,18,1,25,4,4,6,1,4,20,1,9999,99,1,2,1
3,2021,1,5,1,1,1,5,1,101,21,21,1,35,6,6,8,1,4,100,5,9999,99,6,1,2
4,2021,1,2,1,1,1,5,1,115,99,99,1,20,3,3,5,1,4,3,5,9999,99,1,1,2
5,2021,1,19,4,3,1,5,1,114,99,99,1,40,7,7,9,1,4,18,7,2015,5,1,2,1
6,2021,1,19,4,3,1,5,1,114,99,99,2,36,6,6,8,1,4,18,7,2015,5,1,2,1
7,2021,1,23,4,3,1,5,1,114,99,99,1,22,3,3,5,1,4,999,99,9999,99,6,2,1
8,2021,1,23,4,3,1,5,1,114,99,99,1,46,8,8,10,1,4,999,99,9999,99,6,2,1
9,2021,1,11,2,1,1,5,1,108,4,99,2,28,4,4,6,1,1,52,1,2017,5,2,2,1
10,2021,1,17,3,2,1,5,1,108,4,99,1,27,4,4,6,1,4,999,99,9999,99,6,2,1
11,2021,1,17,3,2,1,5,1,110,99,99,1,54,9,9,11,1,4,27,5,2003,4,1,2,1
12,2021,1,19,4,3,1,5,11,1101,6,99,1,34,5,5,7,1,4,32,99,9999,99,1,2,1
13,2021,1,0,1,1,1,5,11,1103,99,99,1,24,3,3,5,1,18,999,99,9999,99,1,1,2
14,2021,1,18,4,3,1,5,15,1507,99,99,1,29,4,4,6,1,4,168,1,9999,99,1,1,2
15,2021,1,18,4,3,1,5,15,1507,99,99,1,47,8,8,10,1,4,168,1,9999,99,1,2,1
16,2021,1,14,3,2,1,5,18,1801,99,99,1,24,3,3,5,1,4,18,5,9999,99,6,2,1
17,2021,1,16,3,2,1,5,18,1801,99,99,1,48,8,8,10,1,4,67,1,9999,99,1,2,1
18,2021,2,12,3,2,1,6,1,101,12,12,2,67,12,11,14,1,1,69,3,9999,99,1,2,1
19,2021,2,13,3,2,1,6,1,101,7,7,2,26,4,4,6,1,4,67,3,2014,5,1,1,2
20,2021,2,13,3,2,1,6,1,101,7,7,1,1,1,1,1,2,4,67,3,2014,5,1,2,1
21,2021,2,13,3,2,1,6,1,101,7,7,2,4,1,1,1,2,4,67,3,2014,5,1,2,1
22,2021,2,21,4,3,1,6,1,116,99,99,1,23,3,3,5,1,4,64,5,2014,5,1,2,1
23,2021,2,20,4,3,1,6,1,108,4,99,1,24,3,3,5,1,1,56,3,2011,5,2,2,1
24,2021,2,13,3,2,1,6,20,2001,99,99,1,22,3,3,5,1,4,76,2,2013,5,1,1,2
25,2021,2,5,1,1,1,6,19,1906,99,99,1,26,4,4,6,1,4,999,99,9999,99,1,1,2
26,2021,2,23,4,3,1,6,5,501,99,99,1,20,3,3,5,1,4,100,3,9999,99,1,2,1
27,2021,2,18,4,3,1,6,6,601,99,99,1,30,5,5,7,1,4,6,99,9999,99,6,1,2
