num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,zona_ciudad,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
1,2021,1,7,2,1,1,5,1,101,8,8,4,67,4,2020,6,6
2,2021,1,9,2,1,1,5,1,101,18,18,2,41,4,2006,4,1
3,2021,1,5,1,1,1,5,1,101,21,21,4,100,5,9999,99,6
4,2021,1,2,1,1,1,5,1,115,99,99,99,999,99,9999,99,1
5,2021,1,19,4,3,1,5,1,114,99,99,3,56,2,2015,5,1
6,2021,1,23,4,3,1,5,1,114,99,99,4,999,99,9999,99,6
7,2021,1,11,2,1,1,5,1,108,4,99,1,52,1,2017,5,2
8,2021,1,17,3,2,1,5,1,108,4,99,4,999,99,9999,99,6
9,2021,1,17,3,2,1,5,1,110,99,99,3,56,8,1983,2,1
10,2021,1,1,1,1,1,5,6,605,99,99,1,74,3,9999,99,1
11,2021,1,19,4,3,1,5,11,1101,6,99,1,69,99,9999,99,1
12,2021,1,0,1,1,1,5,11,1103,99,99,2,999,4,9999,99,1
13,2021,1,18,4,3,1,5,15,1507,99,99,5,999,2,9999,99,1
14,2021,1,14,3,2,1,5,18,1801,99,99,4,18,5,9999,99,6
15,2021,1,16,3,2,1,5,18,1801,99,99,4,67,1,9999,99,1
16,2021,1,1,1,1,1,5,17,1711,99,99,3,69,1,2001,4,1
17,2021,2,12,3,2,1,6,1,101,12,12,4,18,5,9999,99,1
18,2021,2,13,3,2,1,6,1,101,7,7,5,999,99,9999,99,1
19,2021,2,21,4,3,1,6,1,116,99,99,1,48,6,2005,4,1
20,2021,2,20,4,3,1,6,1,108,4,99,1,56,3,2011,5,2
21,2021,2,13,3,2,1,6,20,2001,99,99,4,76,2,2013,5,1
22,2021,2,5,1,1,1,6,19,1906,99,99,6,30,99,1994,3,1
23,2021,2,5,1,1,1,6,19,1904,99,99,11,10,2,9999,99,1
24,2021,2,23,4,3,1,6,5,501,99,99,1,27,4,9999,99,1
25,2021,2,18,4,3,1,6,6,601,99,99,4,6,99,9999,99,6
26,2021,2,21,4,3,1,6,11,1105,99,99,1,52,3,9999,99,1
27,2021,2,0,1,1,1,6,11,1106,99,99,4,67,99,9999,99,1
28,2021,2,18,4,3,1,6,13,1302,99,99,12,69,2,9999,99,7
29,2021,2,0,1,1,1,6,16,1604,99,99,3,69,2,2006,4,1
30,2021,2,18,4,3,1,6,15,1503,2,99,1,90,99,2010,5,1
