num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
1,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Palencia,Ignorado,Hombre,38,35-39,35-39,35 - 39,Ignorado,Mayor,Pick up,Nissan,Negro,2017,2010-2019,Colisión
2,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Palencia,Ignorado,Hombre,17,15-19,15-19,15 - 19,Ignorado,Menor,Motocicleta,Freedom,Negro,2017,2010-2019,Colisión
3,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,18,Hombre,52,50-54,50-54,50 - 54,Ignorado,Mayor,Pick up,Nissan,Gris,1986,1980-1989,Colisión
4,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,18,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Azul,2022,2020-2029,Colisión
5,2023,1,20,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,6,Hombre,30,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Bajaj,Negro,2021,2020-2029,Derrape
6,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,6,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Suzuki,Gris,2021,2020-2029,Choque
7,2023,1,23,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,13,Hombre,48,45-49,45-49,45 - 49,Ignorado,Mayor,Motocicleta,Ignorado,Gris,Ignorado,Ignorado,Derrape
8,2023,1,23,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,12,Hombre,42,40-44,40-44,40 - 44,Ignorado,Mayor,Automóvil,Toyota,Blanco,2009,2000-2009,Colisión
9,2023,1,23,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,12,Hombre,37,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Asia Hero,Rojo,2022,2020-2029,Colisión
10,2023,1,10,06:00 a 11:59,Mañana,Enero,Domingo,Guatemala,Guatemala,12,Mujer,43,40-44,40-44,40 - 44,Ignorado,Mayor,Camioneta,Honda,Gris,2018,2010-2019,Colisión
